Producto,Probabilidad
2745,0.0001427633269565714
2746,2.855266539131428e-05
2762,0.00011421066156525712
2767,2.855266539131428e-05
2779,2.855266539131428e-05
2783,2.855266539131428e-05
2792,5.710533078262856e-05
2799,2.855266539131428e-05
2808,5.710533078262856e-05
2817,5.710533078262856e-05
2822,5.710533078262856e-05
2832,2.855266539131428e-05
2836,2.855266539131428e-05
2847,2.855266539131428e-05
2849,5.710533078262856e-05
2852,0.00011421066156525712
2865,0.00011421066156525712
2866,2.855266539131428e-05
2867,0.0001427633269565714
2873,8.565799617394284e-05
2878,8.565799617394284e-05
2892,2.855266539131428e-05
2907,2.855266539131428e-05
2914,2.855266539131428e-05
2916,8.565799617394284e-05
2918,2.855266539131428e-05
2922,2.855266539131428e-05
2924,0.00034263198469577135
2925,0.0011135539502612568
2926,0.00031407931930445705
2927,5.710533078262856e-05
2928,2.855266539131428e-05
2929,2.855266539131428e-05
2930,0.00011421066156525712
2933,2.855266539131428e-05
2934,0.00011421066156525712
2935,5.710533078262856e-05
2936,5.710533078262856e-05
2938,2.855266539131428e-05
2946,2.855266539131428e-05
2978,2.855266539131428e-05
2988,0.0001427633269565714
2989,2.855266539131428e-05
3000,8.565799617394284e-05
3003,0.00017131599234788568
3004,0.00019986865773919996
3005,0.00031407931930445705
3007,5.710533078262856e-05
3011,2.855266539131428e-05
3033,2.855266539131428e-05
3040,2.855266539131428e-05
3049,2.855266539131428e-05
3050,0.00031407931930445705
3053,2.855266539131428e-05
3062,2.855266539131428e-05
3064,2.855266539131428e-05
3066,8.565799617394284e-05
3067,2.855266539131428e-05
3086,5.710533078262856e-05
3087,5.710533078262856e-05
3089,2.855266539131428e-05
3091,5.710533078262856e-05
3117,2.855266539131428e-05
3118,8.565799617394284e-05
3125,0.0001427633269565714
3136,0.00011421066156525712
3139,8.565799617394284e-05
3140,0.00011421066156525712
3143,2.855266539131428e-05
3145,8.565799617394284e-05
3149,2.855266539131428e-05
3158,5.710533078262856e-05
3159,2.855266539131428e-05
3160,2.855266539131428e-05
3168,2.855266539131428e-05
3173,0.00034263198469577135
3175,0.0001427633269565714
3176,5.710533078262856e-05
3177,8.565799617394284e-05
3180,2.855266539131428e-05
