Nodo;Latitud;Longitud;Direccion
130;25.7438229;-100.4069001;HACIENDA DEL CA 310 CUMBRES 3 SEC MTY 64610 Monterrey Mexico
131;25.7436778;-100.3568071;0 0 UNIDAD MODELO MTY 64140 Monterrey Mexico
132;25.7434324;-100.3546469;LIC PEDRO ZORRI 404 VALLE DE SANTA LUCIA MTY 64140 Monterrey Mexico
133;25.7434026;-100.2887094;PRIVADA SANTA G 315 LAS PUENTES III SAN 66460 San Nicolas Mexico
134;25.7432105;-100.2522706;SILVESTRE DORAD 848 UNIDAD LABORAL SAN 66440 San Nicolas Mexico
135;25.7431399;-100.2554778;ALBERTO TORRES 508 UNIDAD LABORAL SAN 66440 San Nicolas Mexico
136;25.7429755;-100.3154111;GABRIEL RUIZ 647 RESID ANAHUAC SAN 66457 San Nicolas Mexico
137;25.7428234;-100.2539738;ALBERTO TORRES 600 UNIDAD LABORAL SAN 66440 San Nicolas Mexico
138;25.7427868;-100.379629;JOSE LUIS LOZAN 6409 FIDEL VELAZQUEZ MTY 64119 Monterrey Mexico
139;25.7425107;-100.3241652;SEXTA AVENIDA N 1204 LAZARO CARDENAS MTY 64269 Monterrey Mexico
140;25.7422866;-100.2530025;MAYA 755 FRACC LS MORALES SAN 66440 San Nicolas Mexico
141;25.7420123;-100.3083967;SOBRE LAS OLAS 139 EL ROBLE SAN 66450 San Nicolas Mexico
142;25.7411003;-100.2722076;VESUBIO 928 LAS PUENTES III SAN 66460 San Nicolas Mexico
143;25.7401633;-100.316414;OCTAVA 246 PORTAL DE ANAHUAC 66457 San Nicolas Mexico
144;25.7392641;-100.2677208;VOLCAN SANTA MA 1138 LAS PUENTES III SAN 66460 San Nicolas Mexico
145;25.7392119;-100.2912138;PABLO 207 VILLA LS PUENTES SAN 66460 San Nicolas Mexico
146;25.7389785;-100.2842013;C CEREZOS 323 HDA LAS PUENTES SAN 66465 San Nicolas Mexico
