from;to;distancia;tiempo
2;9;27.55;00:31
2;10;10.37;00:20
2;11;24.65;00:25
2;12;15.93;00:22
2;13;13.33;00:23
2;14;12.95;00:21
2;15;16.3;00:24
2;16;17.14;00:26
2;17;17.19;00:26
2;18;26.39;00:34
2;19;18.37;00:26
2;20;13.44;00:21
2;21;16.65;00:25
2;22;17.75;00:27
2;23;17.78;00:29
2;24;12.93;00:19
2;25;17.59;00:29
2;26;13.79;00:24
2;27;8.57;00:18
2;28;8.27;00:16
2;29;11.48;00:18
2;30;13.32;00:20
2;31;17.73;00:26
2;32;8.74;00:18
2;33;9.21;00:20
2;34;17.61;00:27
2;35;19.59;00:27
2;36;20.87;00:26
2;37;9.08;00:19
2;38;14.2;00:24
2;39;9.4;00:20
2;40;15.91;00:21
2;41;14.7;00:24
2;42;15.99;00:21
2;43;30.6;00:36
2;44;14.93;00:24
2;45;16.3;00:22
2;46;29.28;00:32
2;47;18.67;00:29
2;48;10.88;00:24
2;49;10.66;00:22
2;50;21.18;00:29
2;51;10.88;00:22
2;52;29.29;00:32
2;53;14.74;00:27
2;54;32.19;00:39
2;55;16.77;00:28
2;56;15.59;00:25
2;57;12.43;00:24
2;58;10.93;00:24
2;59;32.64;00:40
2;60;10.88;00:22
2;61;32.41;00:38
2;62;29.46;00:30
2;63;33.26;00:42
2;64;14.53;00:28
2;65;13.76;00:27
2;66;30.3;00:34
2;67;13.39;00:26
2;68;29.87;00:31
2;69;13.29;00:26
2;70;16.94;00:27
2;71;13.14;00:26
2;72;16.92;00:27
2;73;13.65;00:26
2;74;32.17;00:39
2;75;17.02;00:27
2;76;30.3;00:33
2;77;33.03;00:41
2;78;32.42;00:34
2;79;21.42;00:26
2;80;33.11;00:41
2;81;30.15;00:29
2;82;17.68;00:28
2;83;30.88;00:31
2;84;31.45;00:33
2;85;30.76;00:32
2;86;21.92;00:28
2;87;31.62;00:37
2;88;34.47;00:42
2;89;32.38;00:39
2;90;17.96;00:30
2;91;13.77;00:28
2;92;18.88;00:31
2;93;31.46;00:33
2;94;32.67;00:40
2;95;13.7;00:28
2;96;31.85;00:38
2;97;14.52;00:30
2;98;22.6;00:28
2;99;34.45;00:42
2;100;22.98;00:30
2;101;31.1;00:32
2;102;13.88;00:28
2;103;33.95;00:43
2;104;33.66;00:39
2;105;23.27;00:31
2;106;14.42;00:30
2;107;32.51;00:34
2;108;35.19;00:43
2;109;32.04;00:34
2;110;33.37;00:37
2;111;31.29;00:31
2;112;35.1;00:42
2;113;34.63;00:41
2;114;35.63;00:44
2;115;39.92;00:39
2;116;14.7;00:30
2;117;32.52;00:36
2;118;33.9;00:42
2;119;34.53;00:42
2;120;35.35;00:43
2;121;32.7;00:36
2;122;33.44;00:38
2;123;31.62;00:30
2;124;15.18;00:32
2;125;15.23;00:32
2;126;15.54;00:33
2;127;42.67;00:46
2;128;25.26;00:32
2;129;40.18;00:44
2;130;25.39;00:36
2;131;15.23;00:31
2;132;15.81;00:34
2;133;33.22;00:37
2;134;42.36;00:45
2;135;44.12;00:46
2;136;33.52;00:36
2;137;43.94;00:46
2;138;25.98;00:33
2;139;20.04;00:32
2;140;43.18;00:46
2;141;33.01;00:34
2;142;34.87;00:41
2;143;34.12;00:36
2;144;39.86;00:44
2;145;33.23;00:37
2;146;34.53;00:40
2;147;26.05;00:35
2;148;25.77;00:33
2;149;21.23;00:34
2;150;34.19;00:39
2;151;16.61;00:34
2;152;33.38;00:34
2;153;42.11;00:43
2;154;34.49;00:41
2;155;21.52;00:34
2;156;39.95;00:35
2;157;34.28;00:36
2;158;34.65;00:41
2;159;17.97;00:37
2;160;41.42;00:40
2;161;41.91;00:42
2;162;41.5;00:40
2;163;26.59;00:34
2;164;39.04;00:43
2;165;34.7;00:37
2;166;38.33;00:41
2;167;17.66;00:36
2;168;42.79;00:44
2;169;18.26;00:37
2;170;39.08;00:44
2;171;41.42;00:39
2;172;43.93;00:43
2;173;18.68;00:38
2;174;17.89;00:37
2;175;42.93;00:41
2;176;28.82;00:38
2;177;40.49;00:43
2;178;28.72;00:38
2;179;19.2;00:39
2;180;40.24;00:44
2;181;28.6;00:37
2;182;18.49;00:38
2;183;35.25;00:35
2;184;40.45;00:44
2;185;39.99;00:43
2;186;41.22;00:45
2;187;41.22;00:45
2;188;41.18;00:44
2;189;42.41;00:39
2;190;42.45;00:39
2;191;29.36;00:38
2;192;43.23;00:45
2;193;28.75;00:37
2;194;42.83;00:40
2;195;41.44;00:43
2;196;36.24;00:39
2;197;42.75;00:47
2;198;19.17;00:38
3;0;15.23;00:32
3;1;36.72;00:40
3;2;1.88;00:06
3;3;0;00:00
3;4;4.3;00:10
3;5;1.27;00:03
3;6;19.52;00:28
3;7;24.89;00:33
3;8;19.5;00:28
3;9;21.58;00:30
3;10;9.97;00:20
3;11;19.01;00:27
3;12;11.9;00:21
3;13;9.3;00:21
3;14;8.91;00:19
3;15;12.27;00:23
3;16;13.11;00:24
3;17;13.16;00:25
3;18;27.34;00:36
3;19;19.31;00:29
3;20;13.04;00:19
3;21;12.62;00:24
3;22;10.72;00:26
3;23;13.75;00:28
3;24;12.53;00:17
3;25;13.56;00:28
3;26;9.75;00:22
3;27;8.18;00:18
3;28;7.87;00:17
3;29;11.08;00:16
3;30;12.92;00:19
3;31;13.7;00:25
3;32;8.34;00:19
3;33;8.81;00:20
3;34;13.58;00:26
3;35;15.56;00:26
3;36;21.82;00:29
3;37;8.68;00:19
3;38;10.17;00:22
3;39;9.01;00:20
3;40;16.86;00:23
3;41;10.67;00:22
3;42;16.93;00:23
3;43;20.71;00:37
3;44;10.9;00:22
3;45;14.79;00:21
3;46;19.39;00:33
3;47;14.64;00:28
3;48;10.49;00:24
3;49;10.26;00:22
3;50;18.07;00:27
3;51;10.49;00:22
3;52;19.4;00:33
3;53;14.35;00:25
3;54;26.22;00:38
3;55;12.74;00:26
3;56;11.56;00:23
3;57;12.03;00:24
3;58;10.54;00:24
3;59;26.66;00:39
3;60;10.48;00:22
3;61;22.52;00:39
3;62;19.57;00:32
3;63;27.29;00:41
3;64;18.84;00:28
3;65;13.37;00:27
3;66;20.41;00:35
3;67;13;00:26
3;68;19.98;00:32
3;69;12.9;00:26
3;70;12.91;00:25
3;71;12.74;00:26
3;72;12.88;00:25
3;73;13.26;00:26
3;74;22.28;00:40
3;75;12.99;00:25
3;76;20.41;00:34
3;77;28.05;00:43
3;78;22.53;00:35
3;79;18.32;00:25
3;80;28.45;00:43
3;81;20.26;00:30
3;82;13.65;00:26
3;83;20.99;00:32
3;84;21.56;00:34
3;85;20.87;00:33
3;86;18.82;00:26
3;87;21.73;00:38
3;88;28.5;00:41
3;89;22.49;00:40
3;90;13.93;00:27
3;91;13.37;00:28
3;92;14.84;00:29
3;93;21.57;00:34
3;94;22.78;00:41
3;95;13.31;00:28
3;96;21.96;00:39
3;97;21.86;00:32
3;98;19.49;00:26
3;99;28.48;00:41
3;100;19.87;00:28
3;101;21.21;00:33
3;102;13.48;00:28
3;103;24.06;00:44
3;104;23.77;00:40
3;105;20.17;00:30
3;106;14.02;00:30
3;107;22.62;00:35
3;108;25.3;00:44
3;109;22.15;00:35
3;110;23.48;00:38
3;111;21.4;00:32
3;112;25.21;00:43
3;113;24.74;00:42
3;114;29.65;00:44
3;115;28.36;00:42
3;116;14.3;00:30
3;117;22.64;00:37
3;118;24.01;00:43
3;119;28.55;00:41
3;120;29.37;00:43
3;121;22.81;00:37
3;122;23.55;00:39
3;123;21.73;00:31
3;124;14.79;00:32
3;125;14.84;00:33
3;126;15.14;00:33
3;127;31.08;00:47
3;128;22.16;00:31
3;129;30.29;00:45
3;130;22.29;00:35
3;131;14.83;00:31
3;132;15.41;00:34
3;133;23.33;00:38
3;134;30.77;00:46
3;135;31.2;00:48
3;136;18.08;00:33
3;137;31.04;00:48
3;138;22.88;00:31
3;139;16.01;00:30
3;140;30.93;00:47
3;141;23.12;00:35
3;142;24.98;00:42
3;143;18.68;00:32
3;144;29.97;00:45
3;145;23.34;00:38
3;146;24.64;00:40
3;147;22.94;00:33
3;148;22.67;00:32
3;149;17.2;00:31
3;150;24.3;00:40
3;151;16.22;00:35
3;152;23.49;00:35
3;153;30.76;00:46
3;154;24.6;00:42
3;155;17.49;00:32
3;156;41.11;00:38
3;157;18.85;00:32
3;158;24.76;00:42
3;159;18.68;00:34
3;160;42.57;00:42
3;161;30.55;00:46
3;162;42.66;00:42
3;163;23.49;00:32
3;164;29.15;00:44
3;165;24.82;00:38
3;166;28.44;00:42
3;167;17.27;00:36
3;168;31.44;00:47
3;169;17.86;00:37
3;170;29.19;00:45
3;171;42.57;00:41
3;172;32.43;00:46
3;173;26.02;00:38
3;174;18.85;00:35
3;175;44.08;00:43
3;176;25.71;00:36
3;177;30.6;00:44
3;178;25.61;00:36
3;179;25.72;00:37
3;180;30.35;00:45
3;181;25.5;00:35
3;182;18.09;00:38
3;183;25.36;00:36
3;184;30.56;00:45
3;185;30.1;00:44
3;186;31.34;00:46
3;187;31.33;00:46
3;188;31.29;00:45
3;189;43.57;00:41
3;190;43.61;00:41
3;191;26.26;00:37
3;192;44.39;00:47
3;193;25.64;00:35
3;194;43.98;00:42
3;195;31.55;00:44
3;196;26.35;00:40
3;197;46.05;00:51
3;198;22.95;00:37
4;0;29.03;00:35
4;1;34.51;00:35
4;2;2.32;00:06
4;3;4.21;00:10
4;4;0;00:00
4;5;3.35;00:10
4;6;24.44;00:26
4;7;22.89;00:28
4;8;24.09;00:24
4;9;26.5;00:28
4;10;9.31;00:18
4;11;23.6;00:23
4;12;14.88;00:20
4;13;12.28;00:21
4;14;11.9;00:19
4;15;15.25;00:21
4;16;16.09;00:23
4;17;16.14;00:24
4;18;25.34;00:31
4;19;17.32;00:24
4;20;12.39;00:18
